@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@data
ar,i,ANY,3,0,1,1,iara,iase
ar,i,ANY,1,1,1,1,iáramos,iásemos
ar,i,ANY,2,1,1,1,iarais,iaseis
ar,i,ANY,3,1,1,1,iaran,iasen
ar,u,ANY,1,0,1,1,uara,uase
ar,u,ANY,2,0,1,1,uaras,uases
ar,u,ANY,3,0,1,1,uara,uase
ar,u,ANY,1,1,1,1,uáramos,uásemos
ar,u,ANY,2,1,1,1,uarais,uaseis
ar,u,ANY,3,1,1,1,uaran,uasen
ar,ANY,ANY,1,0,2,1,are,ANY
ar,ANY,ANY,2,0,2,1,ares,ANY
ar,ANY,ANY,3,0,2,1,are,ANY
ar,ANY,ANY,1,1,2,1,áremos,ANY
ar,ANY,ANY,2,1,2,1,areis,ANY
ar,ANY,ANY,3,1,2,1,aren,ANY
ar,g,ANY,1,0,2,1,gare,ANY
ar,g,ANY,2,0,2,1,gares,ANY
ar,g,ANY,3,0,2,1,gare,ANY
ar,g,ANY,1,1,2,1,gáremos,ANY
ar,g,ANY,2,1,2,1,gareis,ANY
ar,g,ANY,3,1,2,1,garen,ANY
ar,i,ANY,1,0,2,1,iare,ANY
ar,i,ANY,2,0,2,1,iares,ANY
ar,i,ANY,3,0,2,1,iare,ANY
ar,i,ANY,1,1,2,1,iáremos,ANY
ar,i,ANY,2,1,2,1,iareis,ANY
ar,i,ANY,3,1,2,1,iaren,ANY
ar,u,ANY,1,0,2,1,uare,ANY
ar,u,ANY,2,0,2,1,uares,ANY
ar,u,ANY,3,0,2,1,uare,ANY
ar,u,ANY,1,1,2,1,uáremos,ANY
ar,u,ANY,2,1,2,1,uareis,ANY
ar,u,ANY,3,1,2,1,uaren,ANY
er,ANY,ANY,1,0,0,0,o,ANY
er,ANY,ANY,2,0,0,0,es,ANY
er,ANY,ANY,3,0,0,0,e,ANY
er,ANY,ANY,1,1,0,0,emos,ANY
er,ANY,ANY,2,1,0,0,éis,ANY
er,ANY,ANY,3,1,0,0,en,ANY
er,ANY,ANY,1,0,1,0,ía,ANY
er,ANY,ANY,2,0,1,0,ías,ANY
er,ANY,ANY,3,0,1,0,ía,ANY
er,ANY,ANY,1,1,1,0,íamos,ANY
er,ANY,ANY,2,1,1,0,íais,ANY
er,ANY,ANY,3,1,1,0,ían,ANY
er,ANY,ANY,1,0,3,0,í,ANY
er,ANY,ANY,2,0,3,0,iste,ANY
er,ANY,ANY,3,0,3,0,ió,ANY
er,ANY,ANY,1,1,3,0,imos,ANY
er,ANY,ANY,2,1,3,0,isteis,ANY
er,ANY,ANY,3,1,3,0,ieron,ANY
er,ANY,ANY,1,0,2,0,eré,ANY
er,ANY,ANY,2,0,2,0,erás,ANY
er,ANY,ANY,3,0,2,0,erá,ANY
er,ANY,ANY,1,1,2,0,eremos,ANY
er,ANY,ANY,2,1,2,0,eréis,ANY
er,ANY,ANY,3,1,2,0,erán,ANY
er,ANY,ANY,1,0,4,0,ería,ANY
er,ANY,ANY,2,0,4,0,erías,ANY
er,ANY,ANY,3,0,4,0,ería,ANY
er,ANY,ANY,1,1,4,0,eríamos,ANY
er,ANY,ANY,2,1,4,0,eríais,ANY
er,ANY,ANY,3,1,4,0,erían,ANY
er,ANY,ANY,2,0,0,2,e,ANY
er,ANY,ANY,2,1,0,2,ed,ANY
er,ANY,ANY,0,0,0,3,er,ANY
er,ANY,ANY,0,0,1,3,ido,ANY
er,ANY,ANY,0,0,2,3,iendo,ANY
er,ANY,ANY,1,0,0,1,a,ANY
er,ANY,ANY,2,0,0,1,as,ANY
er,ANY,ANY,3,0,0,1,a,ANY
er,ANY,ANY,1,1,0,1,amos,ANY
er,ANY,ANY,2,1,0,1,áis,ANY
er,ANY,ANY,3,1,0,1,an,ANY
er,ANY,ANY,1,0,1,1,iera,iese
er,ANY,ANY,2,0,1,1,ieras,ieses
er,ANY,ANY,3,0,1,1,iera,iese
er,ANY,ANY,1,1,1,1,iéramos,iésemos
er,ANY,ANY,2,1,1,1,ierais,ieseis
er,ANY,ANY,3,1,1,1,ieran,iesen
